"species","class","order","family","colid","gbif","iucnStatus","n_seqs","meanseqlen","minseqlen","maxseqlen","inZoo","survind","fertind","disko"
"Abditomys latidens","Mammalia","Rodentia","Muridae","18fb50888cce04da2143bcd80103ff8e",2438327,"DD",NA,NA,NA,NA,0,1,1,0
"Abeillia abeillei","Aves","Apodiformes","Trochilidae","7f56f083a0496d48c1f6566fa9c64186",2476145,"LC",NA,NA,NA,NA,0,1,2,1
"Abeomelomys sevia","Mammalia","Rodentia","Muridae","71a25db9f21e49f3c39a1b32b0b04f41",4264979,"LC",NA,NA,NA,NA,0,1,2,1
"Ablepharus bivittatus","Reptilia","Squamata","Scincidae","7aad1df14781c81bd81c62b52309fbfb",2461305,"LC",NA,NA,NA,NA,0,1,2,1
"Ablepharus budaki","Reptilia","Squamata","Scincidae","ff25eb7c91c8c3d42f98f3ef9220ea13",2461298,"LC",36,441,335,487,0,1,2,1
"Ablepharus chernovi","Reptilia","Squamata","Scincidae","872953b5e46a46bedde85a50d2ec8671",2461286,"LC",8,424,355,485,0,1,2,1
"Ablepharus darvazi","Reptilia","Squamata","Scincidae","da594102f4f976a415df223771c5d3d3",2461285,NA,NA,NA,NA,NA,0,1,1,0
"Ablepharus deserti","Reptilia","Squamata","Scincidae","8497f673acbe1a658011ac91c768f039",2461274,"LC",NA,NA,NA,NA,0,1,2,1
"Ablepharus grayanus","Reptilia","Squamata","Scincidae","c10de06f11b06fb5a3ce1c52b23a6260",2461272,NA,2,376,329,422,0,1,1,0
"Ablepharus kitaibelii","Reptilia","Squamata","Scincidae","38e66a030d081ab77dced5c241c333df",2461293,"LC",82,436,334,509,0,1,2,1
"Ablepharus pannonicus","Reptilia","Squamata","Scincidae","643d7574cf5cba3f5a8138c545c8162f",2461276,NA,2,1125,375,1875,0,1,1,0
"Ablepharus rueppellii","Reptilia","Squamata","Scincidae","4c161d91abc7212b748407c78d5e6284",2461304,"LC",NA,NA,NA,NA,0,2,2,3
"Abrawayaomys ruschii","Mammalia","Rodentia","Muridae","5832a022b243eb5f4da0dea761e92fc4",2438820,"LC",8,1002,694,1272,0,1,1,0
"Abrocoma bennettii","Mammalia","Rodentia","Abrocomidae","351418a85829b55b924f9832f2828584",2439416,"LC",30,1171,153,4434,0,2,2,3
"Abrocoma boliviensis","Mammalia","Rodentia","Abrocomidae","85212f3ee60ddec8dffc3668f59cd4de",2439414,"CR",NA,NA,NA,NA,0,1,1,0
"Abrocoma budini","Mammalia","Rodentia","Abrocomidae","86d55b8878dbf1bce8add6043545d041",4264779,"DD",NA,NA,NA,NA,0,2,2,3
"Abrocoma cinerea","Mammalia","Rodentia","Abrocomidae","fe12c2972f123d4f2e747613ada18b28",2439415,"LC",6,929,564,1212,0,2,2,3
"Abrocoma famatina","Mammalia","Rodentia","Abrocomidae","d54716cc28757038c29025bf6b78a20c",4264782,"DD",NA,NA,NA,NA,0,2,2,3
"Abrocoma shistacea","Mammalia","Rodentia","Abrocomidae","54fb4d945c1e6a3b9396edece1d500fc",4264778,"DD",NA,NA,NA,NA,0,2,2,3
"Abrocoma uspallata","Mammalia","Rodentia","Abrocomidae","d45b37df931574ebd869163f573c9c9e",4264783,"DD",NA,NA,NA,NA,0,1,1,0
"Abrocoma vaccarum","Mammalia","Rodentia","Abrocomidae","379b4a1d43dac519c0aa4691b8526fd1",4264781,"DD",NA,NA,NA,NA,0,2,2,3
"Abronia anzuetoi","Reptilia","Squamata","Anguidae","61f77d7b566f18bc652931a54fe75961",5226612,"VU",2,368,362,373,0,1,1,0
"Abronia aurita","Reptilia","Squamata","Anguidae","36c4ab4884a8fe4783c5ba258b10a345",3231797,"EN",6,353,321,376,0,1,2,1
"Abronia bogerti","Reptilia","Squamata","Anguidae","a18705c1f2172c82f95543a59fb7049f",5226602,"DD",NA,NA,NA,NA,0,1,1,0
"Abronia campbelli","Reptilia","Squamata","Anguidae","c2c88ab385cb82640e90c4142107464e",5226596,"CR",2,348,332,364,0,1,1,0
"Abronia chiszari","Reptilia","Squamata","Anguidae","488968733dc680adfb46f56ed24867d2",5226594,"EN",1,877,877,877,0,1,1,0
"Abronia deppii","Reptilia","Squamata","Anguidae","ca49f7b8efb052750b5f9257971dd564",5226613,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia fimbriata","Reptilia","Squamata","Anguidae","c438364e270fa0fb30a1c29ee20de00b",5226592,"EN",2,361,361,361,0,1,2,1
"Abronia frosti","Reptilia","Squamata","Anguidae","9a6504cf32f021516f98dbdd3215a9cf",5226615,"CR",2,370,363,376,0,1,1,0
"Abronia fuscolabialis","Reptilia","Squamata","Anguidae","6da6fb3f6323422902b222e5e1e96542",5226616,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia gaiophantasma","Reptilia","Squamata","Anguidae","b3ead4d64459e1c0de9e40417bef66b6",5226610,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia graminea","Reptilia","Squamata","Anguidae","f714759b2d29e77a554c3be2e2700bd9",5226604,"EN",9,646,355,878,0,2,2,3
"Abronia leurolepis","Reptilia","Squamata","Anguidae","f68314d9c7aa9c72d62a6c1246f0351a",5226598,"DD",NA,NA,NA,NA,0,1,1,0
"Abronia lythrochila","Reptilia","Squamata","Anguidae","87cf3fc1e170ec13b526d92a15488abe",5226588,"LC",2,346,338,355,0,1,1,0
"Abronia martindelcampoi","Reptilia","Squamata","Anguidae","0ac6b239f1a34ef710d1f0d9780d90e8",5226618,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia matudai","Reptilia","Squamata","Anguidae","b3f7e956fbf309a46141e82e0dbaf6fd",5226607,"EN",2,362,361,364,0,1,1,0
"Abronia meledona","Reptilia","Squamata","Anguidae","31c341f3816398d94c87a0b8d493466a",5226600,"EN",NA,NA,NA,NA,0,1,2,1
"Abronia mitchelli","Reptilia","Squamata","Anguidae","dc5ad33f166294378c59beead61c61f0",5226590,"DD",NA,NA,NA,NA,0,1,1,0
"Abronia mixteca","Reptilia","Squamata","Anguidae","c2906a91d269004f375b24f2529a9010",5226611,"VU",2,359,344,374,0,2,2,3
"Abronia montecristoi","Reptilia","Squamata","Anguidae","4dcaa6b60c286a8318de783f0ec5f9e8",5226601,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia oaxacae","Reptilia","Squamata","Anguidae","07ee84236502707a07751b528b9055a8",5226593,"VU",1,2041,2041,2041,0,1,1,0
"Abronia ochoterenai","Reptilia","Squamata","Anguidae","6a9a56862a3cb4cbff91daa90c4967a4",5226603,"DD",NA,NA,NA,NA,0,1,2,1
"Abronia ornelasi","Reptilia","Squamata","Anguidae","063723abc5546befaa450ea9a5a7bb00",5226595,"DD",2,356,346,366,0,1,1,0
"Abronia ramirezi","Reptilia","Squamata","Anguidae","49e7688e60a84af4fc24427fbf2c8cd8",5226597,"DD",NA,NA,NA,NA,0,1,1,0
"Abronia reidi","Reptilia","Squamata","Anguidae","3bd7d77d8cb3ab801db2f72601321a68",5226606,"DD",NA,NA,NA,NA,0,1,1,0
"Abronia salvadorensis","Reptilia","Squamata","Anguidae","a04eaf3b7d099b5459fe8d70bb4c2a30",5226599,"EN",NA,NA,NA,NA,0,1,1,0
"Abronia smithi","Reptilia","Squamata","Anguidae","e9cbc0aeac0f1a5c1c2ea0db2ab71fbb",5226589,"LC",NA,NA,NA,NA,0,1,1,0
"Abronia taeniata","Reptilia","Squamata","Anguidae","5de5a130c019e16b6d6ab855027a6fdc",5226608,"VU",NA,NA,NA,NA,0,1,2,1
"Abronia vasconcelosii","Reptilia","Squamata","Anguidae","56785fb68a3c6fbd179f7afe4dcba991",5226591,"VU",NA,NA,NA,NA,0,1,1,0
